Unnamed: 0,subjid,g,d,c,rt_mu,rt_sd,ice,prob,notation,operation,operands,denoms,key,steps,time,acc,ans,KDON_AS,KDON_OG,CDON_AS,CDON_OG,ONOD_M,ONOD_OG,CROP_M,ICDM_D,ICDM_OG
0,913,0.1,0.1,5,5,1,75,3/5+1/5,fraction,add,FR,ED,0.8,12,0.05001369584351778,1,4/5,0,1,0,0,0,0,0,0,0
1,913,0.1,0.1,5,5,1,75,4/5+3/5,fraction,add,FR,ED,1.4,12,0.04981412622146308,1,7/5,1,0,0,0,0,0,0,0,0
2,913,0.1,0.1,5,5,1,75,3/5+1/4,fraction,add,FR,UD,0.85,58,0.3049227020237595,1,17/20,0,0,0,1,0,0,0,0,0
3,913,0.1,0.1,5,5,1,75,2/3+3/5,fraction,add,FR,UD,1.266666666666667,66,0.2696175340097398,1,19/15,0,0,0,1,0,0,0,0,0
4,913,0.1,0.1,5,5,1,75,3/5-1/5,fraction,sub,FR,ED,0.4,11,0.04065256495960057,1,2/5,0,1,0,0,0,0,0,0,0
5,913,0.1,0.1,5,5,1,75,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,11,0.04044720879755914,1,1/5,1,0,0,0,0,0,0,0,0
6,913,0.1,0.1,5,5,1,75,3/5-1/4,fraction,sub,FR,UD,0.35,36,0.171789679909125,1,7/20,0,0,0,1,0,0,0,0,0
7,913,0.1,0.1,5,5,1,75,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,45,0.2131869930308312,1,1/15,0,0,0,1,0,0,0,0,0
8,913,0.1,0.1,5,5,1,75,3/5*1/5,fraction,mul,FR,ED,0.12,22,0.1077138350810856,0,3/1,0,0,0,0,0,0,0,0,1
9,913,0.1,0.1,5,5,1,75,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,20,0.10182965407148,0,3/4,0,0,0,0,0,0,1,0,0
10,913,0.1,0.1,5,5,1,75,3/5*1/4,fraction,mul,FR,UD,0.15,64,0.3716541558969766,0,3/1,0,0,0,1,0,0,0,0,0
11,913,0.1,0.1,5,5,1,75,2/3*3/5,fraction,mul,FR,UD,0.4,69,0.358029895927757,0,6/1,0,0,0,1,0,0,0,0,0
12,913,0.1,0.1,5,5,1,75,3/5:1/5,fraction,div,FR,ED,3.0,11,0.04181338590569794,0,3/5,0,1,0,0,0,0,0,0,0
13,913,0.1,0.1,5,5,1,75,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.0362406789790839,0,1.333/5,0,1,0,0,0,0,0,0,0
14,913,0.1,0.1,5,5,1,75,3/5:1/4,fraction,div,FR,UD,2.4,33,0.1707312169019133,0,2.4/20,0,0,0,1,0,0,0,0,0
15,913,0.1,0.1,5,5,1,75,2/3:3/5,fraction,div,FR,UD,1.111111111111111,42,0.2040468170307577,0,1.111/15,0,0,0,1,0,0,0,0,0
0,203,0.03,0.1,5,3,1,75,3/5+1/5,fraction,add,FR,ED,0.8,12,0.04729487188160419,1,4/5,1,0,0,0,0,0,0,0,0
1,203,0.03,0.1,5,3,1,75,4/5+3/5,fraction,add,FR,ED,1.4,12,0.06274199578911066,0,7/10,0,0,0,0,0,1,0,0,0
2,203,0.03,0.1,5,3,1,75,3/5+1/4,fraction,add,FR,UD,0.85,24,0.1178920110687613,0,1/5,0,0,1,0,0,0,0,0,0
3,203,0.03,0.1,5,3,1,75,2/3+3/5,fraction,add,FR,UD,1.266666666666667,15,0.06887126713991165,0,5/8,0,0,0,0,0,1,0,0,0
4,203,0.03,0.1,5,3,1,75,3/5-1/5,fraction,sub,FR,ED,0.4,11,0.03748915297910571,1,2/5,1,0,0,0,0,0,0,0,0
5,203,0.03,0.1,5,3,1,75,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,13,0.05136412684805691,0,-1/2,0,0,0,0,0,0,0,0,1
6,203,0.03,0.1,5,3,1,75,3/5-1/4,fraction,sub,FR,UD,0.35,23,0.1083299601450562,0,1/10,0,0,1,0,0,0,0,0,0
7,203,0.03,0.1,5,3,1,75,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,22,0.12087607011199,1,1/15,0,0,1,0,0,0,0,0,0
8,203,0.03,0.1,5,3,1,75,3/5*1/5,fraction,mul,FR,ED,0.12,15,0.06860327301546931,1,3/25,0,0,0,0,0,1,0,0,0
9,203,0.03,0.1,5,3,1,75,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,15,0.06686669285409153,1,12/25,0,0,0,0,0,1,0,0,0
10,203,0.03,0.1,5,3,1,75,3/5*1/4,fraction,mul,FR,UD,0.15,12,0.06389579689130187,1,3/20,0,0,0,0,0,1,0,0,0
11,203,0.03,0.1,5,3,1,75,2/3*3/5,fraction,mul,FR,UD,0.4,12,0.06244522612541914,1,6/15,0,0,0,0,0,1,0,0,0
12,203,0.03,0.1,5,3,1,75,3/5:1/5,fraction,div,FR,ED,3.0,8,0.03195044002495706,0,3/5,0,1,0,0,0,0,0,0,0
13,203,0.03,0.1,5,3,1,75,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.03183046006597579,0,1.333/5,0,1,0,0,0,0,0,0,0
14,203,0.03,0.1,5,3,1,75,3/5:1/4,fraction,div,FR,UD,2.4,10,0.04414811683818698,1,3/1.25,0,0,0,0,0,1,0,0,0
15,203,0.03,0.1,5,3,1,75,2/3:3/5,fraction,div,FR,UD,1.111111111111111,22,0.09813086991198361,0,2/5,0,0,0,0,0,0,0,0,1
0,642,0.07,0.5,5,3,1,50,3/5+1/5,fraction,add,FR,ED,0.8,19,0.07627752586267889,0,2/5,0,0,0,0,0,1,0,0,0
1,642,0.07,0.5,5,3,1,50,4/5+3/5,fraction,add,FR,ED,1.4,12,0.03141872980631888,1,7/5,1,0,0,0,0,0,0,0,0
2,642,0.07,0.5,5,3,1,50,3/5+1/4,fraction,add,FR,UD,0.85,18,0.05165959405712783,0,4/9,0,0,0,0,0,0,0,0,1
