model,set,prob,accuracy
distilled-60,sd_add,4+2,1.0
distilled-60,sd_add,4+3,1.0
distilled-60,sd_add,4+4,1.0
distilled-60,sd_add,4+5,1.0
distilled-60,sd_add,4+6,1.0
distilled-60,sd_add,4+7,0.0
distilled-60,sd_add,4+8,1.0
distilled-60,sd_add,4+9,0.0
distilled-60,sd_add,5+1,1.0
distilled-60,sd_add,5+2,1.0
distilled-60,sd_add,5+3,1.0
distilled-60,sd_add,5+4,1.0
distilled-60,sd_add,5+5,1.0
distilled-60,sd_add,5+6,1.0
distilled-60,sd_add,5+7,1.0
distilled-60,sd_add,5+8,1.0
distilled-60,sd_add,5+9,1.0
distilled-60,sd_add,6+1,1.0
distilled-60,sd_add,6+2,1.0
distilled-60,sd_add,6+3,0.0
distilled-60,sd_add,6+4,1.0
distilled-60,sd_add,6+5,0.0
distilled-60,sd_add,6+6,1.0
distilled-60,sd_add,6+7,0.0
distilled-60,sd_add,6+8,1.0
distilled-60,sd_add,6+9,0.0
distilled-60,sd_add,7+1,1.0
distilled-60,sd_add,7+2,0.0
distilled-60,sd_add,7+3,0.0
distilled-60,sd_add,7+4,0.0
distilled-60,sd_add,7+5,0.0
distilled-60,sd_add,7+6,0.0
distilled-60,sd_add,7+7,1.0
distilled-60,sd_add,7+8,0.0
distilled-60,sd_add,7+9,1.0
distilled-60,sd_add,8+1,1.0
distilled-60,sd_add,8+2,1.0
distilled-60,sd_add,8+3,0.0
distilled-60,sd_add,8+4,0.0
distilled-60,sd_add,8+5,0.0
distilled-60,sd_add,8+6,0.0
distilled-60,sd_add,8+7,1.0
distilled-60,sd_add,8+8,1.0
distilled-60,sd_add,8+9,0.0
distilled-60,sd_add,9+1,1.0
distilled-60,sd_add,9+2,0.0
distilled-60,sd_add,9+3,0.0
distilled-60,sd_add,9+4,0.0
distilled-60,sd_add,9+5,0.0
distilled-60,sd_add,9+6,0.0
distilled-60,sd_add,9+7,0.0
distilled-60,sd_add,9+8,0.0
distilled-60,sd_add,9+9,1.0
distilled-60,sd_mul,2*2,1.0
distilled-60,sd_mul,2*3,1.0
distilled-60,sd_mul,2*4,0.0
distilled-60,sd_mul,2*5,1.0
distilled-60,sd_mul,2*6,1.0
distilled-60,sd_mul,2*7,1.0
distilled-60,sd_mul,2*8,1.0
distilled-60,sd_mul,2*9,1.0
distilled-60,sd_mul,3*2,1.0
distilled-60,sd_mul,3*3,1.0
distilled-60,sd_mul,3*4,1.0
distilled-60,sd_mul,3*5,1.0
distilled-60,sd_mul,3*6,1.0
distilled-60,sd_mul,3*7,0.0
distilled-60,sd_mul,3*8,1.0
distilled-60,sd_mul,3*9,1.0
distilled-60,sd_mul,4*2,1.0
distilled-60,sd_mul,4*3,1.0
distilled-60,sd_mul,4*4,0.0
distilled-60,sd_mul,4*5,0.0
