subjid,acc,g,d,rt_mu,ice,profile
758,0.6875,0.08,0.5,6,75,high
488,0.6875,0.05,0.9,4,75,high
564,0.6875,0.06,0.7,3,100,high
774,0.6875,0.08,0.7,5,100,high
722,0.6875,0.08,0.3,3,50,high
730,0.6875,0.08,0.3,5,0,high
535,0.6875,0.06,0.3,6,0,high
543,0.6875,0.06,0.5,3,75,high
833,0.6875,0.09,0.3,5,75,high
834,0.6875,0.09,0.3,5,100,high
852,0.6875,0.09,0.5,5,50,high
863,0.6875,0.09,0.7,3,75,high
783,0.6875,0.08,0.9,3,75,high
393,0.6875,0.04,0.9,5,75,high
479,0.6875,0.05,0.7,6,100,high
459,0.6875,0.05,0.5,6,100,high
451,0.6875,0.05,0.5,5,25,high
481,0.6875,0.05,0.9,3,25,high
550,0.6875,0.06,0.5,5,0,high
725,0.6875,0.08,0.3,4,0,high
589,0.6875,0.06,0.9,4,100,high
689,0.6875,0.07,0.9,4,100,high
596,0.6875,0.06,0.9,6,25,high
599,0.6875,0.06,0.9,6,100,high
881,0.6875,0.09,0.9,3,25,high
706,0.6875,0.08,0.1,4,25,high
683,0.6875,0.07,0.9,3,75,high
822,0.6875,0.09,0.3,3,50,high
820,0.6875,0.09,0.3,3,0,high
864,0.6875,0.09,0.7,3,100,high
367,0.6875,0.04,0.7,4,50,high
366,0.6875,0.04,0.7,4,25,high
361,0.6875,0.04,0.7,3,25,high
860,0.6875,0.09,0.7,3,0,high
273,0.6875,0.03,0.7,5,75,high
900,0.6875,0.1,0.1,3,0,high
311,0.6875,0.04,0.1,5,25,high
330,0.6875,0.04,0.3,5,0,high
842,0.6875,0.09,0.5,3,50,high
256,0.6875,0.03,0.5,6,25,high
879,0.6875,0.09,0.7,6,100,high
288,0.6875,0.03,0.9,4,75,high
929,0.6875,0.1,0.3,4,100,high
276,0.6875,0.03,0.7,6,25,high
928,0.6875,0.1,0.3,4,75,high
214,0.6875,0.03,0.1,5,100,high
244,0.6875,0.03,0.5,3,100,high
224,0.6875,0.03,0.3,3,100,high
359,0.6875,0.04,0.5,6,100,high
844,0.6875,0.09,0.5,3,100,high
884,0.6875,0.09,0.9,3,100,high
702,0.6875,0.08,0.1,3,50,high
993,0.6875,0.1,0.9,5,75,high
663,0.6875,0.07,0.7,3,75,high
678,0.6875,0.07,0.7,6,75,high
638,0.6875,0.07,0.3,6,75,high
657,0.6875,0.07,0.5,6,50,high
872,0.6875,0.09,0.7,5,50,high
946,0.6875,0.1,0.5,4,25,high
940,0.6875,0.1,0.5,3,0,high
621,0.6875,0.07,0.3,3,25,high
620,0.6875,0.07,0.3,3,0,high
720,0.75,0.08,0.3,3,0,high
969,0.75,0.1,0.7,4,100,high
754,0.75,0.08,0.5,5,100,high
741,0.75,0.08,0.5,3,25,high
868,0.75,0.09,0.7,4,75,high
866,0.75,0.09,0.7,4,25,high
853,0.75,0.09,0.5,5,75,high
782,0.75,0.08,0.9,3,50,high
779,0.75,0.08,0.7,6,100,high
560,0.75,0.06,0.7,3,0,high
557,0.75,0.06,0.5,6,50,high
572,0.75,0.06,0.7,5,50,high
770,0.75,0.08,0.7,5,0,high
769,0.75,0.08,0.7,4,100,high
768,0.75,0.08,0.7,4,75,high
836,0.75,0.09,0.3,6,25,high
465,0.75,0.05,0.7,4,0,high
835,0.75,0.09,0.3,6,0,high
568,0.75,0.06,0.7,4,75,high
579,0.75,0.06,0.7,6,100,high
487,0.75,0.05,0.9,4,50,high
999,0.75,0.1,0.9,6,100,high
497,0.75,0.05,0.9,6,50,high
507,0.75,0.06,0.1,4,50,high
787,0.75,0.08,0.9,4,50,high
797,0.75,0.08,0.9,6,50,high
794,0.75,0.08,0.9,5,100,high
805,0.75,0.09,0.1,4,0,high
968,0.75,0.1,0.7,4,75,high
921,0.75,0.1,0.3,3,25,high
967,0.75,0.1,0.7,4,50,high
909,0.75,0.1,0.1,4,100,high
953,0.75,0.1,0.5,5,75,high
965,0.75,0.1,0.7,4,0,high
957,0.75,0.1,0.5,6,50,high
958,0.75,0.1,0.5,6,75,high
941,0.75,0.1,0.5,3,25,high
942,0.75,0.1,0.5,3,50,high
666,0.75,0.07,0.7,4,25,high
679,0.75,0.07,0.7,6,100,high
498,0.75,0.05,0.9,6,75,high
740,0.75,0.08,0.5,3,0,high
729,0.75,0.08,0.3,4,100,high
978,0.75,0.1,0.7,6,75,high
926,0.75,0.1,0.3,4,25,high
973,0.75,0.1,0.7,5,75,high
898,0.75,0.09,0.9,6,75,high
847,0.75,0.09,0.5,4,50,high
295,0.75,0.03,0.9,6,0,high
888,0.75,0.09,0.9,4,75,high
343,0.75,0.04,0.5,3,75,high
948,0.75,0.1,0.5,4,75,high
634,0.75,0.07,0.3,5,100,high
887,0.75,0.09,0.9,4,50,high
697,0.75,0.07,0.9,6,50,high
577,0.75,0.06,0.7,6,50,high
667,0.75,0.07,0.7,4,50,high
261,0.75,0.03,0.7,3,25,high
843,0.75,0.09,0.5,3,75,high
597,0.75,0.06,0.9,6,50,high
705,0.75,0.08,0.1,4,0,high
680,0.75,0.07,0.9,3,0,high
636,0.75,0.07,0.3,6,25,high
865,0.75,0.09,0.7,4,0,high
886,0.75,0.09,0.9,4,25,high
676,0.75,0.07,0.7,6,25,high
685,0.8125,0.07,0.9,4,0,high
684,0.8125,0.07,0.9,3,100,high
983,0.8125,0.1,0.9,3,75,high
641,0.8125,0.07,0.5,3,25,high
990,0.8125,0.1,0.9,5,0,high
989,0.8125,0.1,0.9,4,100,high
892,0.8125,0.09,0.9,5,50,high
682,0.8125,0.07,0.9,3,50,high
271,0.8125,0.03,0.7,5,25,high
253,0.8125,0.03,0.5,5,75,high
565,0.8125,0.06,0.7,4,0,high
392,0.8125,0.04,0.9,5,50,high
851,0.8125,0.09,0.5,5,25,high
840,0.8125,0.09,0.5,3,0,high
862,0.8125,0.09,0.7,3,50,high
849,0.8125,0.09,0.5,4,100,high
467,0.8125,0.05,0.7,4,50,high
462,0.8125,0.05,0.7,3,50,high
793,0.8125,0.08,0.9,5,75,high
789,0.8125,0.08,0.9,4,100,high
785,0.8125,0.08,0.9,4,0,high
984,0.8125,0.1,0.9,3,100,high
995,0.8125,0.1,0.9,6,0,high
979,0.8125,0.1,0.7,6,100,high
996,0.8125,0.1,0.9,6,25,high
986,0.8125,0.1,0.9,4,25,high
494,0.8125,0.05,0.9,5,100,high
491,0.8125,0.05,0.9,5,25,high
744,0.8125,0.08,0.5,3,100,high
773,0.8125,0.08,0.7,5,75,high
759,0.8125,0.08,0.5,6,100,high
753,0.8125,0.08,0.5,5,75,high
764,0.8125,0.08,0.7,3,100,high
954,0.8125,0.1,0.5,5,100,high
994,0.8125,0.1,0.9,5,100,high
950,0.8125,0.1,0.5,5,0,high
673,0.8125,0.07,0.7,5,75,high
625,0.8125,0.07,0.3,4,0,high
896,0.8125,0.09,0.9,6,25,high
891,0.8125,0.09,0.9,5,25,high
660,0.8125,0.07,0.7,3,0,high
656,0.8125,0.07,0.5,6,25,high
889,0.8125,0.09,0.9,4,100,high
687,0.8125,0.07,0.9,4,50,high
699,0.8125,0.07,0.9,6,100,high
588,0.8125,0.06,0.9,4,75,high
880,0.8125,0.09,0.9,3,0,high
893,0.8125,0.09,0.9,5,75,high
883,0.8125,0.09,0.9,3,75,high
899,0.8125,0.09,0.9,6,100,high
661,0.8125,0.07,0.7,3,25,high
876,0.8125,0.09,0.7,6,25,high
669,0.8125,0.07,0.7,4,100,high
484,0.875,0.05,0.9,3,100,high
798,0.875,0.08,0.9,6,75,high
997,0.875,0.1,0.9,6,50,high
496,0.875,0.05,0.9,6,25,high
991,0.875,0.1,0.9,5,25,high
875,0.875,0.09,0.7,6,0,high
871,0.875,0.09,0.7,5,25,high
971,0.875,0.1,0.7,5,25,high
894,0.875,0.09,0.9,5,100,high
945,0.875,0.1,0.5,4,0,high
897,0.875,0.09,0.9,6,50,high
686,0.875,0.07,0.9,4,25,high
885,0.875,0.09,0.9,4,0,high
947,0.875,0.1,0.5,4,50,high
980,0.9375,0.1,0.9,3,0,high
890,0.9375,0.09,0.9,5,0,high
992,0.9375,0.1,0.9,5,50,high
